gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000782	109.29127918020882	4.1369984893865455e-5	0.00819527946009079	0.8593029981570759	0.9999567909085414
ENSMUSG00000000787	24518.950091272767	-5.414832374395357e-4	0.008178585432766014	0.34313443051174297	0.9999567909085414
ENSMUSG00000000791	117.69408959961285	1.2141188340051318e-5	0.008198306865832622	0.8620484727139055	0.9999567909085414
ENSMUSG00000000792	226.3971964518671	-4.6426286222202256e-5	0.008195283791192888	0.8422187806824264	0.9999567909085414
ENSMUSG00000000794	458.11958287015045	1.235554500545096e-4	0.008189793415360169	0.7448071996473715	0.9999567909085414
ENSMUSG00000000804	5046.53245969286	1.8210965732534193e-4	0.008176210185413025	0.7629933823496213	0.9999567909085414
ENSMUSG00000000805	4775.39232853333	-2.1376442029693017e-5	0.008197238979276504	0.8863846034800312	0.9999567909085414
ENSMUSG00000000811	212.1530774093553	7.025602420569684e-5	0.008194490482165223	0.7866488879884661	0.9999567909085414
ENSMUSG00000000817	6.212687068529885	-2.3282861898225413e-5	0.008198425164185234	0.6677591048292759	0.9999567909085414
ENSMUSG00000000823	1770.713959820945	-4.854957050877748e-5	0.008191925762454736	0.8832456644547737	0.9999567909085414
ENSMUSG00000000826	14386.83458718896	2.409291908624258e-4	0.00817613137552566	0.6904420696557787	0.9999567909085414
ENSMUSG00000000827	2312.4706572509863	-2.5113674059725497e-4	0.008185241155370983	0.5908600589162216	0.9999567909085414
ENSMUSG00000000838	4576.225915699274	4.830369463190172e-5	0.008176439019189722	0.9359236816017611	0.9999567909085414
ENSMUSG00000000861	516.432440313928	-1.9725760083805295e-4	0.008188088326524836	0.6342248754059883	0.9999567909085414
ENSMUSG00000000869	4.3961760326099535	4.61312842384727e-6	0.008198457209671533	0.9252414666345536	0.9999567909085414
ENSMUSG00000000876	401.6902039304431	2.0875032398338898e-4	0.008191654725825868	0.5358949207519801	0.9999567909085414
ENSMUSG00000000881	3624.1689669203797	1.0068486053604815e-4	0.008177300834606663	0.8642958874203771	0.9999567909085414
ENSMUSG00000000884	91.9267907066501	2.6941158705216166e-5	0.008196015842158915	0.8959221629044432	0.9999567909085414
ENSMUSG00000000889	104.616024817818	4.0949000236977474e-5	0.008198413295728908	0.46470762939832055	0.9999567909085414
ENSMUSG00000000901	49.73124293759932	7.508596385135278e-5	0.008197108065210866	0.6316315773766182	0.9999567909085414
ENSMUSG00000000902	1640.638375046608	-4.866492999761212e-5	0.008185608628448368	0.9158758638180472	0.9999567909085414
ENSMUSG00000000915	2589.864439949395	-1.0638413498804985e-4	0.00818088384089556	0.8431307104112127	0.9999567909085414
ENSMUSG00000000916	464.0062627932908	-2.263994249781631e-4	0.008189178061122888	0.5641526060187917	0.9999567909085414
ENSMUSG00000000934	299.4652557767838	8.136430038920266e-5	0.00819201883789329	0.8042537416192386	0.9999567909085414
ENSMUSG00000000942	6.700105285294024	5.866244831736652e-6	0.008198575032776096	0.7899797459679243	0.9999567909085414
