ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0031490,chromatin DNA binding,1/123,115/28171,0.39603235371987666,0.4944262342839705,0.4229678061042488,50709,1
GO:0032182,ubiquitin-like protein binding,1/123,115/28171,0.39603235371987666,0.4944262342839705,0.4229678061042488,21973,1
GO:0022836,gated channel activity,2/123,313/28171,0.39757391593966074,0.4944262342839705,0.4229678061042488,12290/19229,2
GO:0003730,mRNA 3'-UTR binding,1/123,116/28171,0.39868020161310636,0.4944262342839705,0.4229678061042488,12696,1
GO:0005126,cytokine receptor binding,2/123,316/28171,0.40216896686833725,0.4967969590726519,0.42499589481236055,16161/18205,2
GO:0008094,"ATP-dependent activity, acting on DNA",1/123,118/28171,0.4039414037609005,0.4970372741589205,0.42520147764305316,21973,1
GO:1902936,phosphatidylinositol bisphosphate binding,1/123,119/28171,0.40655485712907524,0.4976233107762299,0.42570281556796946,329502,1
GO:0000149,SNARE binding,1/123,120/28171,0.40915694441601125,0.4976233107762299,0.42570281556796946,54524,1
GO:0004519,endonuclease activity,1/123,120/28171,0.40915694441601125,0.4976233107762299,0.42570281556796946,66705,1
GO:0015078,proton transmembrane transporter activity,1/123,124/28171,0.41945261017862134,0.5081829700240988,0.4347363085252107,20528,1
GO:0051087,chaperone binding,1/123,127/28171,0.42705739721967595,0.5154141000927124,0.44092233792392443,15015,1
GO:0015085,calcium ion transmembrane transporter activity,1/123,129/28171,0.4320722772225659,0.5194762111645354,0.4443973602610562,12290,1
GO:0017124,SH3 domain binding,1/123,130/28171,0.4345633659431143,0.5204760106688748,0.44525266075599657,13491,1
GO:0004713,protein tyrosine kinase activity,1/123,132/28171,0.4395130756759388,0.5204760106688748,0.44525266075599657,19229,1
GO:0005179,hormone activity,1/123,132/28171,0.4395130756759388,0.5204760106688748,0.44525266075599657,245195,1
GO:0140375,immune receptor activity,1/123,132/28171,0.4395130756759388,0.5204760106688748,0.44525266075599657,16161,1
GO:0022843,voltage-gated monoatomic cation channel activity,1/123,135/28171,0.44685716954991916,0.5255897514437622,0.4496273228725251,12290,1
